mode,pinned_alloc,total_bytes,chunk_bytes,threads,slots,pinned_bytes,pinned_alloc_ms,pinned_free_ms,median_gbps,best_gbps,memcpy_busy_frac,wait_frac,issue_frac,verify
pageable,hostalloc,34359738368,67108864,8,0,0,0.000,0.000,383.06,383.10,0.000,0.000,0.991,skipped
pageable,hostalloc,34359738368,67108864,8,0,0,0.000,0.000,382.98,383.04,0.000,0.000,0.991,skipped
pageable,hostalloc,34359738368,268435456,4,0,0,0.000,0.000,389.02,389.28,0.000,0.000,0.987,skipped
pageable,hostalloc,34359738368,67108864,8,0,0,0.000,0.000,370.28,370.77,0.000,0.000,0.992,skipped
pinned,register,34359738368,67108864,8,0,34359738368,693.576,2.594,382.94,383.03,0.000,0.000,0.004,skipped
pinned,register,34359738368,67108864,8,0,34359738368,1308.801,269.926,370.95,371.01,0.000,0.000,0.004,skipped
memcpy,hostalloc,34359738368,67108864,32,2,4294967296,207.978,75.214,136.88,139.47,0.950,0.000,0.000,skipped
memcpy,hostalloc,34359738368,67108864,32,2,4294967296,174.614,48.024,138.23,140.25,0.956,0.000,0.000,skipped
staged,hostalloc,34359738368,67108864,32,2,4294967296,212.648,74.909,100.89,101.53,0.968,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,32,2,4294967296,180.830,49.267,101.55,102.76,0.949,0.000,0.001,skipped
