mode,pinned_alloc,total_bytes,chunk_bytes,threads,slots,pinned_bytes,pinned_alloc_ms,pinned_free_ms,median_gbps,best_gbps,memcpy_busy_frac,wait_frac,issue_frac,verify,sched,streams,huge,pin_cpus
pinned,hostalloc,34359738368,2097152,1,0,34359738368,1495.529,483.702,241.33,241.34,0.000,0.000,0.933,skipped,,0,0,0
pinned,hostalloc,34359738368,4194304,1,0,34359738368,1514.056,452.267,295.97,296.00,0.000,0.000,0.873,skipped,,0,0,0
pinned,hostalloc,34359738368,8388608,1,0,34359738368,1497.098,471.226,334.15,334.21,0.000,0.000,0.750,skipped,,0,0,0
pinned,hostalloc,34359738368,33554432,1,0,34359738368,1505.762,486.477,366.15,366.28,0.000,0.000,0.012,skipped,,0,0,0
pinned,hostalloc,34359738368,2097152,2,0,34359738368,1506.895,441.406,240.18,240.19,0.000,0.000,0.899,skipped,,0,0,0
pinned,hostalloc,34359738368,4194304,2,0,34359738368,1511.497,487.078,291.68,291.69,0.000,0.000,0.806,skipped,,0,0,0
pinned,hostalloc,34359738368,8388608,2,0,34359738368,1518.170,487.085,328.37,328.37,0.000,0.000,0.622,skipped,,0,0,0
pinned,hostalloc,34359738368,33554432,2,0,34359738368,1505.927,485.025,362.16,362.23,0.000,0.000,0.012,skipped,,0,0,0
pinned,hostalloc,34359738368,2097152,4,0,34359738368,1506.654,484.166,236.60,236.64,0.000,0.000,0.832,skipped,,0,0,0
pinned,hostalloc,34359738368,4194304,4,0,34359738368,1514.133,490.566,287.75,287.76,0.000,0.000,0.679,skipped,,0,0,0
pinned,hostalloc,34359738368,8388608,4,0,34359738368,1517.198,483.394,323.21,323.23,0.000,0.000,0.382,skipped,,0,0,0
pinned,hostalloc,34359738368,33554432,4,0,34359738368,1512.698,483.491,361.98,362.00,0.000,0.000,0.008,skipped,,0,0,0
pinned,hostalloc,34359738368,2097152,8,0,34359738368,1504.266,459.829,238.07,238.14,0.000,0.000,0.804,skipped,,0,0,0
pinned,hostalloc,34359738368,4194304,8,0,34359738368,1505.451,457.121,289.32,289.43,0.000,0.000,0.538,skipped,,0,0,0
pinned,hostalloc,34359738368,8388608,8,0,34359738368,1518.530,492.592,327.13,327.31,0.000,0.000,0.029,skipped,,0,0,0
pinned,hostalloc,34359738368,33554432,8,0,34359738368,1507.379,455.893,362.24,362.38,0.000,0.000,0.008,skipped,,0,0,0
pinned,hostalloc,34359738368,2097152,16,0,34359738368,1503.509,484.758,239.05,239.10,0.000,0.000,0.913,skipped,,0,0,0
pinned,hostalloc,34359738368,4194304,16,0,34359738368,1502.723,485.725,288.38,288.43,0.000,0.000,0.507,skipped,,0,0,0
pinned,hostalloc,34359738368,8388608,16,0,34359738368,1509.273,489.754,326.66,326.76,0.000,0.000,0.028,skipped,,0,0,0
pinned,hostalloc,34359738368,33554432,16,0,34359738368,1519.811,487.396,362.55,362.58,0.000,0.000,0.006,skipped,,0,0,0
pinned,hostalloc,34359738368,1048576,32,0,34359738368,1517.405,495.782,174.24,174.31,0.000,0.000,0.956,skipped,,0,0,0
pinned,hostalloc,34359738368,2097152,32,0,34359738368,1525.361,487.220,238.47,238.50,0.000,0.000,0.906,skipped,,0,0,0
pinned,hostalloc,34359738368,4194304,32,0,34359738368,1467.028,445.371,289.02,289.09,0.000,0.000,0.791,skipped,,0,0,0
pinned,hostalloc,34359738368,8388608,32,0,34359738368,1520.185,494.356,326.13,326.41,0.000,0.000,0.035,skipped,,0,0,0
pinned,hostalloc,34359738368,16777216,32,0,34359738368,1521.111,463.899,348.55,348.64,0.000,0.000,0.010,skipped,,0,0,0
pinned,hostalloc,34359738368,33554432,32,0,34359738368,1508.310,492.756,361.61,361.74,0.000,0.000,0.004,skipped,,0,0,0
pinned,hostalloc,34359738368,67108864,32,0,34359738368,1514.145,490.910,368.23,368.35,0.000,0.000,0.001,skipped,,0,0,0
pageable,hostalloc,34359738368,2097152,1,0,0,0.000,0.000,132.52,132.55,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,4194304,1,0,0,0.000,0.000,196.28,196.47,0.000,0.000,0.998,skipped,,0,0,0
pageable,hostalloc,34359738368,8388608,1,0,0,0.000,0.000,259.28,259.81,0.000,0.000,0.998,skipped,,0,0,0
pageable,hostalloc,34359738368,33554432,1,0,0,0.000,0.000,339.26,339.45,0.000,0.000,0.999,skipped,,0,0,0
pageable,hostalloc,34359738368,2097152,2,0,0,0.000,0.000,219.17,219.42,0.000,0.000,0.995,skipped,,0,0,0
pageable,hostalloc,34359738368,4194304,2,0,0,0.000,0.000,278.51,278.65,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,8388608,2,0,0,0.000,0.000,322.72,323.03,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,33554432,2,0,0,0.000,0.000,362.60,362.76,0.000,0.000,0.998,skipped,,0,0,0
pageable,hostalloc,34359738368,2097152,4,0,0,0.000,0.000,219.96,219.97,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,4194304,4,0,0,0.000,0.000,279.52,279.57,0.000,0.000,0.998,skipped,,0,0,0
pageable,hostalloc,34359738368,8388608,4,0,0,0.000,0.000,322.23,322.35,0.000,0.000,0.998,skipped,,0,0,0
pageable,hostalloc,34359738368,33554432,4,0,0,0.000,0.000,362.46,362.48,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,2097152,8,0,0,0.000,0.000,223.01,223.42,0.000,0.000,0.998,skipped,,0,0,0
pageable,hostalloc,34359738368,4194304,8,0,0,0.000,0.000,280.47,280.58,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,8388608,8,0,0,0.000,0.000,325.95,325.99,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,33554432,8,0,0,0.000,0.000,362.29,362.32,0.000,0.000,0.995,skipped,,0,0,0
pageable,hostalloc,34359738368,2097152,16,0,0,0.000,0.000,229.34,230.20,0.000,0.000,0.997,skipped,,0,0,0
pageable,hostalloc,34359738368,4194304,16,0,0,0.000,0.000,287.56,287.64,0.000,0.000,0.996,skipped,,0,0,0
pageable,hostalloc,34359738368,8388608,16,0,0,0.000,0.000,328.33,328.47,0.000,0.000,0.995,skipped,,0,0,0
pageable,hostalloc,34359738368,33554432,16,0,0,0.000,0.000,362.98,363.00,0.000,0.000,0.989,skipped,,0,0,0
pageable,hostalloc,34359738368,2097152,32,0,0,0.000,0.000,226.25,227.74,0.000,0.000,0.994,skipped,,0,0,0
pageable,hostalloc,34359738368,4194304,32,0,0,0.000,0.000,283.37,283.84,0.000,0.000,0.993,skipped,,0,0,0
pageable,hostalloc,34359738368,8388608,32,0,0,0.000,0.000,323.95,323.98,0.000,0.000,0.989,skipped,,0,0,0
pageable,hostalloc,34359738368,33554432,32,0,0,0.000,0.000,360.97,361.15,0.000,0.000,0.977,skipped,,0,0,0
staged,hostalloc,34359738368,1048576,1,2,2097152,0.241,0.177,14.13,14.14,0.954,0.020,0.024,skipped,ring,0,0,0
staged,hostalloc,34359738368,2097152,1,2,4194304,0.319,0.210,14.14,14.15,0.976,0.010,0.013,skipped,ring,0,0,0
staged,hostalloc,34359738368,4194304,1,2,8388608,0.512,0.269,14.24,14.24,0.987,0.005,0.007,skipped,ring,0,0,0
staged,hostalloc,34359738368,8388608,1,2,16777216,0.862,0.408,14.26,14.27,0.993,0.003,0.004,skipped,ring,0,0,0
staged,hostalloc,34359738368,33554432,1,2,67108864,2.961,0.952,13.70,13.74,0.996,0.001,0.002,skipped,ring,0,0,0
staged,hostalloc,34359738368,1048576,2,2,4194304,0.343,0.243,26.90,26.91,0.947,0.023,0.028,skipped,ring,0,0,0
staged,hostalloc,34359738368,2097152,2,2,8388608,0.509,0.284,27.11,27.12,0.974,0.011,0.014,skipped,ring,0,0,0
staged,hostalloc,34359738368,4194304,2,2,16777216,0.833,0.379,27.30,27.34,0.986,0.006,0.008,skipped,ring,0,0,0
staged,hostalloc,34359738368,8388608,2,2,33554432,1.599,0.684,27.16,27.17,0.993,0.003,0.004,skipped,ring,0,0,0
staged,hostalloc,34359738368,33554432,2,2,134217728,5.755,1.746,26.15,26.17,0.997,0.001,0.001,skipped,ring,0,0,0
staged,hostalloc,34359738368,1048576,4,2,8388608,0.516,0.293,49.23,49.24,0.949,0.021,0.027,skipped,ring,0,0,0
staged,hostalloc,34359738368,2097152,4,2,16777216,0.838,0.366,48.76,49.27,0.976,0.011,0.013,skipped,ring,0,0,0
staged,hostalloc,34359738368,4194304,4,2,33554432,1.567,0.602,49.71,49.78,0.987,0.005,0.007,skipped,ring,0,0,0
