mode,pinned_alloc,total_bytes,chunk_bytes,threads,slots,pinned_bytes,pinned_alloc_ms,pinned_free_ms,median_gbps,best_gbps,memcpy_busy_frac,wait_frac,issue_frac,verify,sched,streams,huge,pin_cpus
pinned,hostalloc,34359738368,1048576,64,0,34359738368,1502.481,476.973,175.33,175.54,0.000,0.000,0.928,skipped,,0,0,0
pageable,hostalloc,34359738368,1048576,64,0,0,0.000,0.000,167.75,168.06,0.000,0.000,0.992,skipped,,0,0,0
pinned,hostalloc,34359738368,2097152,64,0,34359738368,1508.563,486.595,237.05,237.14,0.000,0.000,0.863,skipped,,0,0,0
pageable,hostalloc,34359738368,2097152,64,0,0,0.000,0.000,227.88,228.41,0.000,0.000,0.989,skipped,,0,0,0
pinned,hostalloc,34359738368,4194304,64,0,34359738368,1504.244,473.887,288.52,288.66,0.000,0.000,0.616,skipped,,0,0,0
pageable,hostalloc,34359738368,4194304,64,0,0,0.000,0.000,284.48,284.59,0.000,0.000,0.984,skipped,,0,0,0
pinned,hostalloc,34359738368,8388608,64,0,34359738368,1509.678,499.449,324.37,325.92,0.000,0.000,0.051,skipped,,0,0,0
pageable,hostalloc,34359738368,8388608,64,0,0,0.000,0.000,321.90,321.90,0.000,0.000,0.979,skipped,,0,0,0
pinned,hostalloc,34359738368,16777216,64,0,34359738368,1500.988,509.293,347.52,347.62,0.000,0.000,0.007,skipped,,0,0,0
pageable,hostalloc,34359738368,16777216,64,0,0,0.000,0.000,345.70,345.74,0.000,0.000,0.970,skipped,,0,0,0
pinned,hostalloc,34359738368,33554432,64,0,34359738368,1519.145,489.059,360.46,360.62,0.000,0.000,0.002,skipped,,0,0,0
pageable,hostalloc,34359738368,33554432,64,0,0,0.000,0.000,359.03,359.28,0.000,0.000,0.944,skipped,,0,0,0
pinned,hostalloc,34359738368,67108864,64,0,34359738368,1450.479,494.816,366.90,366.91,0.000,0.000,0.001,skipped,,0,0,0
pageable,hostalloc,34359738368,67108864,64,0,0,0.000,0.000,366.41,367.01,0.000,0.000,0.927,skipped,,0,0,0
staged,hostalloc,34359738368,1048576,64,2,134217728,5.702,1.748,108.00,108.12,0.504,0.477,0.009,skipped,ring,0,0,0
staged,hostalloc,34359738368,2097152,64,2,268435456,11.243,3.010,105.88,106.85,0.984,0.002,0.006,skipped,ring,0,0,0
staged,hostalloc,34359738368,4194304,64,2,536870912,20.850,5.726,104.63,105.00,0.987,0.001,0.003,skipped,ring,0,0,0
staged,hostalloc,34359738368,8388608,64,2,1073741824,44.672,11.790,102.79,102.79,0.983,0.001,0.002,skipped,ring,0,0,0
staged,hostalloc,34359738368,33554432,64,2,4294967296,178.536,48.665,98.58,100.64,0.966,0.000,0.001,skipped,ring,0,0,0
