mode,pinned_alloc,total_bytes,chunk_bytes,threads,slots,pinned_bytes,pinned_alloc_ms,pinned_free_ms,median_gbps,best_gbps,memcpy_busy_frac,wait_frac,issue_frac,verify,sched,streams
staged,hostalloc,34359738368,67108864,8,32,2147483648,89.641,23.830,79.53,80.02,0.990,0.000,0.001,skipped,pool,8
staged,hostalloc,34359738368,67108864,8,32,2147483648,90.111,23.971,77.28,77.90,0.993,0.000,0.001,skipped,pool,32
staged,hostalloc,34359738368,67108864,8,128,8589934592,360.309,97.635,72.89,75.85,0.992,0.000,0.001,skipped,pool,8
staged,hostalloc,34359738368,67108864,8,128,8589934592,358.032,97.954,74.06,82.11,0.990,0.000,0.001,skipped,pool,32
staged,hostalloc,34359738368,67108864,16,32,2147483648,89.435,23.992,99.05,103.75,0.986,0.000,0.001,skipped,pool,8
staged,hostalloc,34359738368,67108864,16,32,2147483648,89.839,24.194,103.04,103.06,0.987,0.000,0.001,skipped,pool,32
staged,hostalloc,34359738368,67108864,16,128,8589934592,357.168,97.564,99.54,102.90,0.988,0.000,0.001,skipped,pool,8
staged,hostalloc,34359738368,67108864,16,128,8589934592,356.866,97.717,99.73,101.80,0.975,0.000,0.001,skipped,pool,32
staged,hostalloc,34359738368,67108864,32,32,2147483648,90.642,24.230,103.61,105.03,0.921,0.027,0.001,skipped,pool,8
staged,hostalloc,34359738368,67108864,32,32,2147483648,89.658,24.871,101.93,104.49,0.923,0.028,0.001,skipped,pool,32
staged,hostalloc,34359738368,67108864,32,128,8589934592,357.334,92.216,103.72,103.74,0.954,0.000,0.001,skipped,pool,8
staged,hostalloc,34359738368,67108864,32,128,8589934592,359.424,97.718,103.01,104.29,0.968,0.000,0.001,skipped,pool,32
staged,hostalloc,34359738368,16777216,32,256,4294967296,178.907,46.267,105.69,105.75,0.974,0.000,0.002,skipped,pool,32
staged,hostalloc,34359738368,67108864,64,128,8589934592,346.576,97.686,93.70,95.62,0.895,0.000,0.000,skipped,pool,32
staged,hostalloc,34359738368,67108864,32,2,4294967296,180.866,48.859,102.46,103.31,0.958,0.000,0.001,skipped,ring,0
staged,hostalloc,34359738368,67108864,32,4,8589934592,361.233,98.204,99.84,102.48,0.950,0.000,0.001,skipped,ring,0
