mode,pinned_alloc,total_bytes,chunk_bytes,threads,slots,pinned_bytes,pinned_alloc_ms,pinned_free_ms,median_gbps,best_gbps,memcpy_busy_frac,wait_frac,issue_frac,verify
alloc,hostalloc,8589934592,0,0,0,8589934592,431.327,132.309,,,,,,
alloc,hostalloc,34359738368,0,0,0,34359738368,1603.743,546.762,,,,,,
alloc,hostalloc,137438953472,0,0,0,137438953472,5921.319,1836.829,,,,,,
alloc,register,8589934592,0,0,0,8589934592,367.510,68.380,,,,,,
alloc,register,34359738368,0,0,0,34359738368,1373.820,281.428,,,,,,
alloc,register,137438953472,0,0,0,137438953472,5037.138,965.636,,,,,,
pinned,hostalloc,34359738368,1048576,1,0,34359738368,1610.646,577.374,172.88,172.91,0.000,0.000,0.963,skipped
pinned,hostalloc,34359738368,1048576,2,0,34359738368,1606.899,562.147,170.53,170.56,0.000,0.000,0.946,skipped
pinned,hostalloc,34359738368,1048576,4,0,34359738368,1606.430,527.166,169.88,169.89,0.000,0.000,0.911,skipped
pinned,hostalloc,34359738368,1048576,8,0,34359738368,1605.104,533.202,169.78,169.82,0.000,0.000,0.943,skipped
pinned,hostalloc,34359738368,1048576,16,0,34359738368,1604.062,588.382,170.78,170.81,0.000,0.000,0.926,skipped
pinned,hostalloc,34359738368,16777216,1,0,34359738368,1605.982,542.487,344.69,344.82,0.000,0.000,0.506,skipped
pinned,hostalloc,34359738368,16777216,2,0,34359738368,1597.858,582.790,337.58,337.68,0.000,0.000,0.024,skipped
pinned,hostalloc,34359738368,16777216,4,0,34359738368,1606.114,552.999,336.88,337.27,0.000,0.000,0.014,skipped
pinned,hostalloc,34359738368,16777216,8,0,34359738368,1598.587,580.760,339.20,339.27,0.000,0.000,0.016,skipped
pinned,hostalloc,34359738368,16777216,16,0,34359738368,1609.669,594.362,339.00,339.19,0.000,0.000,0.011,skipped
pinned,hostalloc,34359738368,67108864,1,0,34359738368,1605.530,580.643,359.00,359.16,0.000,0.000,0.005,skipped
pinned,hostalloc,34359738368,67108864,2,0,34359738368,1605.633,581.587,356.93,357.18,0.000,0.000,0.006,skipped
pinned,hostalloc,34359738368,67108864,4,0,34359738368,1603.146,596.250,356.94,356.94,0.000,0.000,0.004,skipped
pinned,hostalloc,34359738368,67108864,8,0,34359738368,1606.377,582.772,356.99,357.18,0.000,0.000,0.004,skipped
pinned,hostalloc,34359738368,67108864,16,0,34359738368,1609.400,598.524,357.02,357.12,0.000,0.000,0.002,skipped
pinned,hostalloc,34359738368,268435456,1,0,34359738368,1599.480,582.973,362.52,362.76,0.000,0.000,0.002,skipped
pinned,hostalloc,34359738368,268435456,2,0,34359738368,1606.982,537.662,362.26,362.48,0.000,0.000,0.002,skipped
pinned,hostalloc,34359738368,268435456,4,0,34359738368,1603.595,589.515,362.25,362.37,0.000,0.000,0.001,skipped
pinned,hostalloc,34359738368,268435456,8,0,34359738368,1606.291,589.359,362.21,362.31,0.000,0.000,0.001,skipped
pinned,hostalloc,34359738368,268435456,16,0,34359738368,1602.115,589.761,361.97,362.13,0.000,0.000,0.000,skipped
pageable,hostalloc,34359738368,1048576,1,0,0,0.000,0.000,80.51,80.55,0.000,0.000,0.997,skipped
pageable,hostalloc,34359738368,1048576,2,0,0,0.000,0.000,134.37,134.47,0.000,0.000,0.994,skipped
pageable,hostalloc,34359738368,1048576,4,0,0,0.000,0.000,150.42,150.59,0.000,0.000,0.997,skipped
pageable,hostalloc,34359738368,1048576,8,0,0,0.000,0.000,154.82,154.83,0.000,0.000,0.997,skipped
pageable,hostalloc,34359738368,1048576,16,0,0,0.000,0.000,159.13,159.68,0.000,0.000,0.997,skipped
pageable,hostalloc,34359738368,1048576,32,0,0,0.000,0.000,160.75,160.94,0.000,0.000,0.996,skipped
pageable,hostalloc,34359738368,16777216,1,0,0,0.000,0.000,296.71,296.95,0.000,0.000,0.999,skipped
pageable,hostalloc,34359738368,16777216,2,0,0,0.000,0.000,333.75,333.82,0.000,0.000,0.998,skipped
pageable,hostalloc,34359738368,16777216,4,0,0,0.000,0.000,333.20,333.27,0.000,0.000,0.998,skipped
pageable,hostalloc,34359738368,16777216,8,0,0,0.000,0.000,333.51,333.66,0.000,0.000,0.996,skipped
pageable,hostalloc,34359738368,16777216,16,0,0,0.000,0.000,334.03,334.10,0.000,0.000,0.992,skipped
pageable,hostalloc,34359738368,16777216,32,0,0,0.000,0.000,331.01,331.03,0.000,0.000,0.983,skipped
pageable,hostalloc,34359738368,67108864,1,0,0,0.000,0.000,337.83,338.05,0.000,0.000,0.999,skipped
pageable,hostalloc,34359738368,67108864,2,0,0,0.000,0.000,349.19,349.26,0.000,0.000,0.998,skipped
pageable,hostalloc,34359738368,67108864,4,0,0,0.000,0.000,348.55,348.77,0.000,0.000,0.996,skipped
pageable,hostalloc,34359738368,67108864,8,0,0,0.000,0.000,347.25,347.75,0.000,0.000,0.992,skipped
pageable,hostalloc,34359738368,67108864,16,0,0,0.000,0.000,347.12,347.43,0.000,0.000,0.983,skipped
pageable,hostalloc,34359738368,67108864,32,0,0,0.000,0.000,346.80,347.02,0.000,0.000,0.964,skipped
pageable,hostalloc,34359738368,268435456,1,0,0,0.000,0.000,347.53,347.99,0.000,0.000,0.999,skipped
pageable,hostalloc,34359738368,268435456,2,0,0,0.000,0.000,350.69,350.80,0.000,0.000,0.995,skipped
pageable,hostalloc,34359738368,268435456,4,0,0,0.000,0.000,350.74,350.83,0.000,0.000,0.988,skipped
pageable,hostalloc,34359738368,268435456,8,0,0,0.000,0.000,350.29,350.44,0.000,0.000,0.971,skipped
pageable,hostalloc,34359738368,268435456,16,0,0,0.000,0.000,350.08,350.30,0.000,0.000,0.928,skipped
pageable,hostalloc,34359738368,268435456,32,0,0,0.000,0.000,349.94,350.37,0.000,0.000,0.875,skipped
memcpy,hostalloc,34359738368,67108864,1,2,134217728,6.103,1.873,14.79,14.81,1.000,0.000,0.000,skipped
memcpy,hostalloc,34359738368,67108864,2,2,268435456,11.429,3.305,27.96,27.96,0.999,0.000,0.000,skipped
memcpy,hostalloc,34359738368,67108864,4,2,536870912,23.113,6.039,52.30,52.47,0.997,0.000,0.000,skipped
memcpy,hostalloc,34359738368,67108864,8,2,1073741824,46.540,12.380,95.25,96.05,0.994,0.000,0.000,skipped
memcpy,hostalloc,34359738368,67108864,16,2,2147483648,91.648,25.408,119.73,119.75,0.987,0.000,0.000,skipped
memcpy,hostalloc,34359738368,67108864,32,2,4294967296,185.168,51.848,131.85,134.05,0.968,0.000,0.000,skipped
memcpy,hostalloc,34359738368,67108864,64,2,8589934592,366.396,104.293,128.69,130.64,0.945,0.000,0.000,skipped
staged,hostalloc,34359738368,16777216,2,1,33554432,1.570,0.547,25.33,25.34,0.952,0.046,0.002,skipped
staged,hostalloc,34359738368,16777216,4,1,67108864,3.127,1.064,45.90,45.93,0.952,0.046,0.002,skipped
staged,hostalloc,34359738368,16777216,8,1,134217728,6.250,1.876,75.79,77.21,0.950,0.046,0.002,skipped
staged,hostalloc,34359738368,16777216,16,1,268435456,11.724,3.316,91.85,94.09,0.957,0.036,0.002,skipped
staged,hostalloc,34359738368,16777216,32,1,536870912,22.347,5.576,100.72,101.36,0.961,0.027,0.002,skipped
staged,hostalloc,34359738368,16777216,64,1,1073741824,45.990,12.547,97.98,98.24,0.963,0.015,0.001,skipped
staged,hostalloc,34359738368,16777216,2,2,67108864,3.218,1.216,26.18,26.19,0.996,0.001,0.002,skipped
staged,hostalloc,34359738368,16777216,4,2,134217728,5.961,1.917,47.07,47.12,0.995,0.001,0.002,skipped
staged,hostalloc,34359738368,16777216,8,2,268435456,11.739,3.100,77.20,78.43,0.992,0.001,0.002,skipped
staged,hostalloc,34359738368,16777216,16,2,536870912,23.112,6.056,92.88,94.77,0.991,0.001,0.003,skipped
staged,hostalloc,34359738368,16777216,32,2,1073741824,46.559,12.674,100.95,101.21,0.988,0.001,0.002,skipped
staged,hostalloc,34359738368,16777216,64,2,2147483648,92.755,25.650,96.99,97.07,0.976,0.000,0.001,skipped
staged,hostalloc,34359738368,16777216,2,4,134217728,5.923,1.851,26.13,26.17,0.996,0.002,0.002,skipped
staged,hostalloc,34359738368,16777216,4,4,268435456,11.805,3.312,47.01,47.04,0.995,0.001,0.002,skipped
staged,hostalloc,34359738368,16777216,8,4,536870912,23.405,6.172,75.38,79.06,0.995,0.001,0.002,skipped
staged,hostalloc,34359738368,16777216,16,4,1073741824,46.458,12.586,92.61,92.78,0.992,0.001,0.003,skipped
staged,hostalloc,34359738368,16777216,32,4,2147483648,93.087,25.853,99.97,100.76,0.983,0.001,0.002,skipped
staged,hostalloc,34359738368,16777216,64,4,4294967296,184.662,52.301,97.18,97.74,0.977,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,2,1,134217728,6.181,1.933,25.45,25.46,0.958,0.040,0.001,skipped
staged,hostalloc,34359738368,67108864,4,1,268435456,11.803,3.403,46.40,46.47,0.957,0.040,0.001,skipped
staged,hostalloc,34359738368,67108864,8,1,536870912,23.456,5.992,79.16,79.29,0.952,0.042,0.001,skipped
staged,hostalloc,34359738368,67108864,16,1,1073741824,46.037,12.613,92.51,93.91,0.949,0.036,0.001,skipped
staged,hostalloc,34359738368,67108864,32,1,2147483648,91.408,25.435,100.19,100.35,0.948,0.025,0.001,skipped
staged,hostalloc,34359738368,67108864,64,1,4294967296,185.678,52.414,93.65,97.20,0.907,0.013,0.000,skipped
staged,hostalloc,34359738368,67108864,2,2,268435456,11.920,3.584,26.07,26.09,0.997,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,4,2,536870912,23.126,6.449,46.99,47.07,0.994,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,8,2,1073741824,46.190,12.530,77.88,78.41,0.991,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,16,2,2147483648,92.131,25.702,94.60,94.90,0.985,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,32,2,4294967296,184.437,52.106,98.32,99.11,0.967,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,64,2,8589934592,369.703,105.250,92.42,92.90,0.919,0.000,0.000,skipped
staged,hostalloc,34359738368,67108864,2,4,536870912,23.649,6.565,26.06,26.07,0.998,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,4,4,1073741824,45.971,12.832,46.93,46.97,0.994,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,8,4,2147483648,92.169,26.214,76.17,76.59,0.989,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,16,4,4294967296,182.712,52.604,91.56,94.69,0.986,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,32,4,8589934592,366.734,99.517,95.19,96.65,0.947,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,64,4,17179869184,739.765,212.715,92.18,95.36,0.885,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,2,1,536870912,23.168,6.695,25.58,25.58,0.960,0.038,0.000,skipped
staged,hostalloc,34359738368,268435456,4,1,1073741824,46.246,12.705,46.81,46.85,0.954,0.040,0.000,skipped
staged,hostalloc,34359738368,268435456,8,1,2147483648,91.909,26.153,79.36,79.52,0.935,0.050,0.000,skipped
staged,hostalloc,34359738368,268435456,16,1,4294967296,184.682,49.431,90.44,93.18,0.877,0.041,0.000,skipped
staged,hostalloc,34359738368,268435456,32,1,8589934592,361.473,105.547,96.01,96.16,0.852,0.028,0.000,skipped
staged,hostalloc,34359738368,268435456,64,1,17179869184,733.798,214.642,87.01,90.72,0.723,0.007,0.000,skipped
staged,hostalloc,34359738368,268435456,2,2,1073741824,45.762,12.402,26.17,26.17,0.998,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,4,2,2147483648,90.831,26.446,47.17,47.34,0.996,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,8,2,4294967296,185.612,52.594,79.36,80.36,0.988,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,16,2,8589934592,365.989,105.987,92.80,94.02,0.943,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,32,2,17179869184,740.107,195.283,93.08,93.70,0.884,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,64,2,34359738368,1466.228,438.544,81.91,87.00,0.789,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,2,4,2147483648,92.043,27.131,26.15,26.16,0.998,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,4,4,4294967296,178.747,52.893,46.92,47.21,0.996,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,8,4,8589934592,365.412,105.532,77.64,79.46,0.981,0.000,0.001,skipped
staged,hostalloc,34359738368,268435456,16,4,17179869184,738.316,213.264,96.91,96.95,0.968,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,32,4,34359738368,1473.406,439.994,90.62,93.97,0.889,0.000,0.000,skipped
staged,hostalloc,34359738368,268435456,64,4,68719476736,2842.640,816.664,81.58,87.81,0.729,0.000,0.000,skipped
staged,hostalloc,34359738368,67108864,32,2,4294967296,180.422,49.437,97.88,98.56,0.958,0.000,0.001,skipped
staged,hostalloc,34359738368,67108864,32,2,4294967296,233.689,78.284,93.57,94.46,0.646,0.224,0.006,skipped
pageable,hostalloc,34359738368,67108864,8,0,0,0.000,0.000,383.77,383.82,0.000,0.000,0.992,skipped
staged,hostalloc,34359738368,67108864,16,2,2147483648,86.569,23.450,97.90,99.90,0.984,0.000,0.001,ok
