engine,query,iteration,runtime_s
sirius,q1,0,1.551516
sirius,q1,1,1.295642
sirius,q1,2,1.261773
sirius,q2,0,0.493659
sirius,q2,1,0.181113
sirius,q2,2,0.184010
sirius,q3,0,0.705003
sirius,q3,1,0.622723
sirius,q3,2,0.616837
sirius,q4,0,0.573695
sirius,q4,1,0.461858
sirius,q4,2,0.458448
sirius,q5,0,0.674902
sirius,q5,1,0.633208
sirius,q5,2,0.633008
sirius,q6,0,0.583763
sirius,q6,1,0.612300
sirius,q6,2,0.609792
sirius,q7,0,0.789644
sirius,q7,1,0.753657
sirius,q7,2,0.757825
sirius,q8,0,0.675356
sirius,q8,1,0.673139
sirius,q8,2,0.667498
sirius,q9,0,1.843598
sirius,q9,1,1.941945
sirius,q9,2,1.889521
sirius,q10,0,1.077697
sirius,q10,1,1.055732
sirius,q10,2,1.049448
sirius,q11,0,0.292366
sirius,q11,1,0.250725
sirius,q11,2,0.250726
sirius,q12,0,0.664762
sirius,q12,1,0.700270
sirius,q12,2,0.689766
sirius,q13,0,1.378305
sirius,q13,1,1.317057
sirius,q13,2,1.322220
sirius,q14,0,0.503582
sirius,q14,1,0.502056
sirius,q14,2,0.506593
sirius,q15,0,0.493491
sirius,q15,1,0.441492
sirius,q15,2,0.438475
sirius,q16,0,0.635291
sirius,q16,1,0.552031
sirius,q16,2,0.545701
sirius,q17,0,1.158671
sirius,q17,1,1.157590
sirius,q17,2,1.132481
sirius,q18,0,1.218394
sirius,q18,1,1.155818
sirius,q18,2,1.145746
sirius,q19,0,1.137057
sirius,q19,1,1.135836
sirius,q19,2,1.120270
sirius,q20,0,0.479705
sirius,q20,1,0.483889
sirius,q20,2,0.476381
sirius,q21,0,2.265317
sirius,q21,1,2.212201
sirius,q21,2,2.315015
sirius,q22,0,0.372137
sirius,q22,1,0.341537
sirius,q22,2,0.348086
