engine,query,iteration,runtime_s
sirius,q1,0,1.279724
sirius,q1,1,1.133171
sirius,q1,2,1.151709
sirius,q2,0,0.293717
sirius,q2,1,0.148944
sirius,q2,2,0.146829
sirius,q3,0,0.553698
sirius,q3,1,0.542320
sirius,q3,2,0.538200
sirius,q4,0,0.442885
sirius,q4,1,0.391362
sirius,q4,2,0.398402
sirius,q5,0,0.575073
sirius,q5,1,0.542348
sirius,q5,2,0.539231
sirius,q6,0,0.497296
sirius,q6,1,0.461817
sirius,q6,2,0.466101
sirius,q7,0,0.634864
sirius,q7,1,0.612905
sirius,q7,2,0.609604
sirius,q8,0,0.575854
sirius,q8,1,0.552641
sirius,q8,2,0.559182
sirius,q9,0,1.892930
sirius,q9,1,1.860227
sirius,q9,2,1.885769
sirius,q10,0,0.856249
sirius,q10,1,0.854088
sirius,q10,2,0.852861
sirius,q11,0,0.302113
sirius,q11,1,0.260928
sirius,q11,2,0.240996
sirius,q12,0,0.573695
sirius,q12,1,0.572614
sirius,q12,2,0.579304
sirius,q13,0,1.307984
sirius,q13,1,1.308442
sirius,q13,2,1.310241
sirius,q14,0,0.412990
sirius,q14,1,0.401664
sirius,q14,2,0.412425
sirius,q15,0,0.402763
sirius,q15,1,0.361247
sirius,q15,2,0.363034
sirius,q16,0,0.604432
sirius,q16,1,0.541490
sirius,q16,2,0.534685
sirius,q17,0,0.946824
sirius,q17,1,0.925894
sirius,q17,2,0.931226
sirius,q18,0,1.268827
sirius,q18,1,1.266569
sirius,q18,2,1.260584
sirius,q19,0,1.036654
sirius,q19,1,1.025439
sirius,q19,2,1.029719
sirius,q20,0,0.309311
sirius,q20,1,0.306450
sirius,q20,2,0.310982
sirius,q21,0,2.164541
sirius,q21,1,2.222305
sirius,q21,2,2.154496
sirius,q22,0,0.352473
sirius,q22,1,0.351360
sirius,q22,2,0.345693
