engine,query,iteration,runtime_s
sirius,q1,0,1.295209
sirius,q1,1,1.143079
sirius,q1,2,1.143193
sirius,q2,0,0.282979
sirius,q2,1,0.158931
sirius,q2,2,0.155009
sirius,q3,0,0.553355
sirius,q3,1,0.541987
sirius,q3,2,0.548555
sirius,q4,0,0.452560
sirius,q4,1,0.401130
sirius,q4,2,0.406714
sirius,q5,0,0.575723
sirius,q5,1,0.541875
sirius,q5,2,0.541075
sirius,q6,0,0.492555
sirius,q6,1,0.471697
sirius,q6,2,0.468147
sirius,q7,0,0.654610
sirius,q7,1,0.612771
sirius,q7,2,0.618876
sirius,q8,0,0.575752
sirius,q8,1,0.562169
sirius,q8,2,0.558243
sirius,q9,0,1.886371
sirius,q9,1,1.870095
sirius,q9,2,1.894144
sirius,q10,0,0.855669
sirius,q10,1,0.853767
sirius,q10,2,0.838175
sirius,q11,0,0.301714
sirius,q11,1,0.250297
sirius,q11,2,0.260512
sirius,q12,0,0.593344
sirius,q12,1,0.582357
sirius,q12,2,0.576097
sirius,q13,0,1.307093
sirius,q13,1,1.306453
sirius,q13,2,1.310781
sirius,q14,0,0.402339
sirius,q14,1,0.401253
sirius,q14,2,0.405421
sirius,q15,0,0.402373
sirius,q15,1,0.351892
sirius,q15,2,0.354745
sirius,q16,0,0.604417
sirius,q16,1,0.531968
sirius,q16,2,0.536612
sirius,q17,0,0.946190
sirius,q17,1,0.924227
sirius,q17,2,0.929470
sirius,q18,0,1.268308
sirius,q18,1,1.266078
sirius,q18,2,1.269423
sirius,q19,0,1.037099
sirius,q19,1,1.034714
sirius,q19,2,1.021195
sirius,q20,0,0.298959
sirius,q20,1,0.299627
sirius,q20,2,0.292958
sirius,q21,0,2.123607
sirius,q21,1,2.191721
sirius,q21,2,2.208928
sirius,q22,0,0.362494
sirius,q22,1,0.350986
sirius,q22,2,0.345191
