[104507][08:24:53:517252][info  ] ----- RMM LOG BEGIN [PTDS DISABLED] -----
[104507][08:24:53:517285][error ] [A][Stream 0xe8ece8008210][Upstream 2139648B][FAILURE maximum pool size exceeded]
[104508][08:24:53:518016][error ] [A][Stream 0xe8ecf400b4d0][Upstream 2139648B][FAILURE maximum pool size exceeded]
[104680][08:24:54:069559][error ] [A][Stream 0xe8ecf800b530][Upstream 2139648B][FAILURE maximum pool size exceeded]
[104684][08:24:54:069914][error ] [A][Stream 0xe8ece4008240][Upstream 2139648B][FAILURE maximum pool size exceeded]
[104861][08:24:54:626102][error ] [A][Stream 0xe8ecdc008250][Upstream 2139648B][FAILURE maximum pool size exceeded]
[104857][08:24:54:626150][error ] [A][Stream 0xe8ece80163d0][Upstream 2139648B][FAILURE maximum pool size exceeded]
[105135][08:24:57:402517][error ] [A][Stream 0xe8ecf4008210][Upstream 1769472B][FAILURE maximum pool size exceeded]
[105226][08:24:57:855787][error ] [A][Stream 0xe8ecd800b960][Upstream 1769472B][FAILURE maximum pool size exceeded]
[105231][08:24:57:856294][error ] [A][Stream 0xe8ecfc008760][Upstream 1769472B][FAILURE maximum pool size exceeded]
[105314][08:24:58:282456][error ] [A][Stream 0xe8ecfc008760][Upstream 1769472B][FAILURE maximum pool size exceeded]
[105320][08:24:58:282515][error ] [A][Stream 0xe8ecec008240][Upstream 1769472B][FAILURE maximum pool size exceeded]
[105583][08:25:02:589478][error ] [A][Stream 0xe8ecfc0082d0][Upstream 2683136B][FAILURE maximum pool size exceeded]
[105585][08:25:02:589535][error ] [A][Stream 0xe8ecf400b4d0][Upstream 2683136B][FAILURE maximum pool size exceeded]
[105748][08:25:03:165778][error ] [A][Stream 0xe8ecec0162a0][Upstream 2683136B][FAILURE maximum pool size exceeded]
[105749][08:25:03:165839][error ] [A][Stream 0xe8ecf8008270][Upstream 2683136B][FAILURE maximum pool size exceeded]
[105919][08:25:03:719687][error ] [A][Stream 0xe8ecf8008270][Upstream 2683136B][FAILURE maximum pool size exceeded]
[105915][08:25:03:719961][error ] [A][Stream 0xe8ecf4008230][Upstream 2683136B][FAILURE maximum pool size exceeded]
[107017][08:25:13:212900][error ] [A][Stream 0xe8ecf8008270][Upstream 2428672B][FAILURE maximum pool size exceeded]
[107013][08:25:13:212970][error ] [A][Stream 0xe8ecf4008210][Upstream 3585280B][FAILURE maximum pool size exceeded]
[107191][08:25:13:841698][error ] [A][Stream 0xe8ecf8008270][Upstream 3585280B][FAILURE maximum pool size exceeded]
[107194][08:25:13:841760][error ] [A][Stream 0xe8ecf8008290][Upstream 3585280B][FAILURE maximum pool size exceeded]
[107371][08:25:14:460876][error ] [A][Stream 0xe8ecfc008600][Upstream 3585280B][FAILURE maximum pool size exceeded]
[107372][08:25:14:460942][error ] [A][Stream 0xe8ecfc0082d0][Upstream 3585280B][FAILURE maximum pool size exceeded]
[107588][08:25:19:758901][error ] [A][Stream 0xe8ecd800b960][Upstream 2451968B][FAILURE maximum pool size exceeded]
[107583][08:25:19:758957][error ] [A][Stream 0xe8ecec008240][Upstream 2683136B][FAILURE maximum pool size exceeded]
[107766][08:25:20:334822][error ] [A][Stream 0xe8ece400b500][Upstream 2683136B][FAILURE maximum pool size exceeded]
[107768][08:25:20:334882][error ] [A][Stream 0xe8ece4008240][Upstream 2683136B][FAILURE maximum pool size exceeded]
[107955][08:25:20:913498][error ] [A][Stream 0xe8ecec0162a0][Upstream 2683136B][FAILURE maximum pool size exceeded]
